,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
591,Posto Shell Sol Costa Azul,ChIJNWH-yQ4bFgcRj5QPZYp7tfI,-12.9876478,-38.4484864,4.2,gas_station,"Rua Arthur de Azevêdo Machado, 1443 - Costa Azul, Salvador"
652,Br Petrobras,ChIJ2SUXNR0bFgcRFTTiH0qGk4c,-12.975045,-38.4535458,1,gas_station,"Pernambues, Salvador"
654,JAM BATERIAS,ChIJt0e7KeAaFgcROp3BtkfyWs8,-12.9722144,-38.46177,0,gas_station,"Av. Hilda - Pernambués, Salvador"
656,Posto P4,ChIJVVX5NbMbFgcRw8nKZDirHro,-12.9783841,-38.4284819,4,gas_station,"R. Abelardo Andrade de Carvalho, 351 - Boca do Rio, Salvador"
657,Posto Shell,ChIJ2XwURucZFgcRCv8zfEeFcI4,-12.9747876,-38.4177793,4.1,gas_station,"LOT JDIMPER, Av. Octávio Mangabeira - Boca do Rio, Salvador"
667,Buri Gas - GNV,ChIJl_kclE0aFgcRAn_6xXNR6bs,-12.9746569,-38.4313826,3.5,gas_station,"167 003, 1ª Travessa Prof. Pinto de Aguiar, 1 - Boca do Rio, Salvador"
670,Posto Ipiranga,ChIJOZWYIwQbFgcRaHJ1QsfLRCA,-12.9801747,-38.4488855,4.1,gas_station,"Av. Prof. Manoel Ribeiro, 1570 - Stiep, Salvador"
672,Posto Caminho Da Praia,ChIJhapQojYaFgcRPvqsEgygy9c,-12.9746961,-38.4177759,4.1,gas_station,"Av. Octávio Mangabeira - Pituaçu, Salvador"
678,Posto Shell,ChIJHXCJhSsbFgcR6AJWnDLCeaw,-12.9690146,-38.4248666,4.1,gas_station,"Av. Jorge Amado, 80 - Boca do Rio, Salvador"
679,Posto Petrobrás,ChIJrR84yLQbFgcRslCdPkbbN4E,-12.9789999,-38.4276772,3.5,gas_station,"Av. Octávio Mangabeira, 6094 - Boca do Rio, Salvador"
680,Posto Shell,ChIJuTYOzxgbFgcRhbzhj60xeHw,-12.9800696,-38.456401,3.9,gas_station,"Av. Tancredo Neves, 1506 - Caminho das Árvores, Salvador"
684,Posto Petrobras Ponto Novo,ChIJZbWYmjsbFgcR2vvY2varnyk,-12.9749146,-38.4533626,4.3,gas_station,"Av. Luís Viana Filho, 385 - Pernambués, Salvador"
686,Deusrei Com de Combustíveis e Lubrificantes,ChIJ6xOugDYaFgcRNRFruhp-12E,-12.9688407,-38.4246949,4,gas_station,"Boca do Rio, Salvador"
687,SACOLA TÉRMICA BAGCOOL - EDUARDO ALVES COUTO NETO EIRELI-ME,ChIJpySnywIbFgcRDqSI_qq0XZ8,-12.9749968,-38.4535488,4.9,gas_station,"Av. Luís Viana Filho, 385 - Pernambués, Salvador"
688,Loja Shell Select - POSTO SHELL - AS BENEDITAS COM DE ALIMENTOS,ChIJlz50klUbFgcRrYvrEM9TmCI,-12.968225,-38.438635,0,gas_station,"Av. Luís Viana Filho, 2078 - Paralela, Salvador"
689,Loja Shell Select - POSTO SHELL - DEUSREI COMB E LUBRIF LTDA,ChIJ4dA5j30bFgcRgJ72nFzOqBY,-12.968826,-38.424767,0,gas_station,"AV JORGE AMADO LOTE 128 A 130, QD 15, Salvador"
690,Lava Jato do Galego,ChIJG3rLDvYbFgcR2lufdeabHSg,-12.9681234,-38.4423259,0,gas_station,"R. Rio Solimões, 181 - Saboeiro, Salvador"
691,Posto Shell,ChIJL5qIPFcaFgcRJ5cQSjrmMC0,-12.9684056,-38.4386524,3.4,gas_station,"Av. Luís Viana Filho, 2078 - Paralela, Salvador"
723,Posto de Combustível Itajaí,ChIJDW6B_1kaFgcRTFY_YOpEY3I,-12.9684882,-38.4386948,2.6,gas_station,"Av. Luís Viana Filho, 2078 - Imbuí, Salvador"
727,DEUSREI COMB E LUBRIF LTDA,ChIJ1bP631YaFgcRat2k9jI8QY0,-12.9682177,-38.4386175,3.8,gas_station,"AV JORGE AMADO LOTE 128 A 130 QD 15 - Imbuí, Salvador"
809,Loja Shell Select - POSTO SHELL - AS BENEDITAS COM DE ALIMENTOS LTDA,ChIJ03DSV9obFgcRUhGcxpR-gmg,-12.9645134,-38.437082,5,gas_station,"Av. Luís Viana Filho, 2489 - Doron, Salvador"
810,Machado Lima Com. de Combustíveis e Serviços,ChIJi1k02VgaFgcRB0Kd_USFoVA,-12.9626208,-38.4405308,3.4,gas_station,"R. Edgar Santos, 530 - Narandiba, Salvador"
815,Posto Menor Preço,ChIJaaBZZyEaFgcRv_Znh4QtKcY,-12.9665732,-38.4057186,3.8,gas_station,"R. Carimbamba, 1533 - Patamares, Salvador"
818,Posto Shell,ChIJvcV1xVsaFgcRqBpeOzUheXI,-12.9641026,-38.4368528,4.2,gas_station,"R. Rômulo Galvão - Doron, Salvador"
822,Ecopostos Fuels and Services,ChIJdW_nJhkaFgcRNQiUZpJlXqk,-12.9603155,-38.4065403,4,gas_station,"Av. Prof. Pinto de Aguiar, 650 - Patamares, Salvador"
829,Posto Petrobras,ChIJGVelKRkaFgcRuAHPxK-KBns,-12.9603072,-38.4065402,4.4,gas_station,"Av. Prof. Pinto de Aguiar, 650 - Pituaçu, Salvador"
832,Posto Novo Horizonte Petrobrás,ChIJvai0f1waFgcR3imaf2iX_88,-12.9602924,-38.4336907,3.9,gas_station,"Av. Luís Viana Filho, 3073 - Paralela, Salvador"
834,Posto Menor Preço,ChIJgz6cl14aFgcRy4dUOCfrphU,-12.9608103,-38.438432,3.9,gas_station,"Av. Edgard Santos, 530 - Doron, Salvador"
840,Petrobras Gas Station,ChIJm68nie0aFgcRbOVG6weZU1Y,-12.9576811,-38.453783,3.8,gas_station,"R. Silveira Martins, 3197 - Cabula, Salvador"
842,Jsm Combustiveis,ChIJtX9dEfQaFgcRqxXJd4kwC7Y,-12.957712,-38.453759,3.6,gas_station,"R. Silveira Martins, 3197 - Cabula, Salvador"
850,Posto Shell - Posto Kalilandia Ltda,ChIJI8JDF4QXFgcR8ogtUU8ZtjA,-12.963987,-38.4372153,3,gas_station,"Av. Luís Viana Filho, 2489 - Saboeiro, Salvador"
877,POSTO KALILANDIA LTDA,ChIJ963OPFcaFgcRfC6alpYkwNw,-12.9642327,-38.4370587,3.9,gas_station,"Av. Luís Viana Filho, 2489 - Pernambués, Salvador"
965,Shell Select,ChIJgRIv-TAbFgcRoGIiNjzONpk,-12.9482673,-38.4111807,3,gas_station,"Av. Prof. Pinto de Aguiar, 2100 - Pituaçu, Salvador"
966,Posto Petrobras,ChIJGQyBhhkZFgcRGgx3fUuOOGQ,-12.95074,-38.39754,0,gas_station,"AV.OTAVIO MANGABEIRA, S/N - Patamares, Salvador"
